Temp;O2;DevPeriod;RepNumber;HatchDay
12;2.5;1;15;46
12;2.5;1;16;39
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;40
12;2.5;1;16;41
12;2.5;1;16;41
12;2.5;1;16;41
12;2.5;1;16;41
12;2.5;1;16;41
12;2.5;1;16;41
12;2.5;1;16;41
12;2.5;1;16;42
12;2.5;1;16;42
12;2.5;1;16;42
12;2.5;1;16;43
12;2.5;1;16;43
12;2.5;1;17;39
12;2.5;1;17;39
12;2.5;1;17;39
12;2.5;1;17;39
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;40
12;2.5;1;17;41
12;2.5;1;17;41
12;2.5;1;17;41
12;2.5;1;17;41
12;2.5;1;17;41
12;2.5;1;17;41
12;2.5;1;17;42
12;2.5;1;17;42
12;2.5;1;17;43
12;2.5;1;18;39
12;2.5;1;18;40
12;2.5;1;18;40
12;2.5;1;18;40
12;2.5;1;18;40
12;2.5;1;18;40
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;41
12;2.5;1;18;42
12;2.5;1;18;42
12;2.5;1;18;42
12;2.5;1;18;42
12;2.5;1;18;42
12;2.5;1;18;42
12;2.5;1;18;42
12;2.5;1;18;42
12;2.5;1;18;46
12;2.5;1;18;48
12;2.5;2;19;39
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;40
12;2.5;2;19;41
12;2.5;2;19;41
12;2.5;2;19;41
12;2.5;2;19;42
12;2.5;2;19;42
12;2.5;2;19;42
12;2.5;2;19;42
12;2.5;2;19;43
12;2.5;2;19;44
12;2.5;2;19;46
12;2.5;2;20;36
12;2.5;2;20;39
12;2.5;2;20;39
12;2.5;2;20;40
12;2.5;2;20;40
12;2.5;2;20;40
12;2.5;2;20;40
12;2.5;2;20;40
12;2.5;2;20;40
12;2.5;2;20;40
12;2.5;2;20;40
12;2.5;2;20;41
12;2.5;2;20;41
12;2.5;2;20;41
12;2.5;2;20;41
12;2.5;2;20;41
12;2.5;2;20;41
12;2.5;2;20;42
12;2.5;2;20;42
12;2.5;2;20;42
12;2.5;2;20;42
12;2.5;2;20;43
12;2.5;2;20;43
12;2.5;2;20;48
12;2.5;2;21;38
12;2.5;2;21;39
12;2.5;2;21;39
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;40
12;2.5;2;21;41
12;2.5;2;21;41
12;2.5;2;21;41
12;2.5;2;21;42
12;2.5;2;21;42
12;2.5;2;21;43
12;2.5;2;22;37
12;2.5;2;22;38
12;2.5;2;22;38
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;40
12;2.5;2;22;41
12;2.5;2;22;41
12;2.5;2;22;42
12;2.5;2;22;43
12;2.5;2;22;43
12;2.5;2;22;44
12;2.5;2;22;44
12;2.5;2;22;46
12;2.5;2;23;36
12;2.5;2;23;38
12;2.5;2;23;38
12;2.5;2;23;39
12;2.5;2;23;39
12;2.5;2;23;39
12;2.5;2;23;39
12;2.5;2;23;39
12;2.5;2;23;39
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;40
12;2.5;2;23;42
12;2.5;2;23;43
12;2.5;2;23;44
12;2.5;2;24;36
12;2.5;2;24;38
12;2.5;2;24;38
12;2.5;2;24;39
12;2.5;2;24;39
12;2.5;2;24;39
12;2.5;2;24;39
12;2.5;2;24;39
12;2.5;2;24;39
12;2.5;2;24;39
12;2.5;2;24;39
12;2.5;2;24;40
12;2.5;2;24;40
12;2.5;2;24;40
12;2.5;2;24;40
12;2.5;2;24;41
12;2.5;2;24;41
12;2.5;2;24;41
12;2.5;2;24;41
12;2.5;2;24;41
12;2.5;2;24;41
12;2.5;2;24;41
12;2.5;2;24;42
12;2.5;2;24;42
12;2.5;2;24;42
12;2.5;2;25;36
12;2.5;2;25;37
12;2.5;2;25;38
12;2.5;2;25;39
12;2.5;2;25;39
12;2.5;2;25;39
12;2.5;2;25;39
12;2.5;2;25;39
12;2.5;2;25;40
12;2.5;2;25;40
12;2.5;2;25;40
12;2.5;2;25;40
12;2.5;2;25;40
12;2.5;2;25;40
12;2.5;2;25;40
12;2.5;2;25;40
12;2.5;2;25;41
12;2.5;2;25;42
12;2.5;2;25;42
12;2.5;2;25;42
12;2.5;2;25;42
12;2.5;2;25;42
12;2.5;2;25;42
12;2.5;2;25;43
12;2.5;2;26;38
12;2.5;2;26;39
12;2.5;2;26;39
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;40
12;2.5;2;26;41
12;2.5;2;26;41
12;2.5;2;26;41
12;2.5;2;26;41
12;2.5;2;26;41
12;2.5;2;26;42
12;2.5;2;26;43
12;2.5;2;26;43
12;2.5;2;26;44
12;2.5;2;27;39
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;40
12;2.5;2;27;41
12;2.5;2;27;41
12;2.5;2;27;41
12;2.5;2;27;41
12;2.5;2;27;42
12;2.5;2;27;42
12;2.5;2;27;42
12;2.5;2;27;42
12;2.5;2;27;42
12;2.5;3;28;36
12;2.5;3;28;36
12;2.5;3;28;36
12;2.5;3;28;36
12;2.5;3;28;36
12;2.5;3;28;37
12;2.5;3;28;37
12;2.5;3;28;37
12;2.5;3;28;37
12;2.5;3;28;38
12;2.5;3;28;38
12;2.5;3;29;36
12;2.5;3;29;36
12;2.5;3;29;36
12;2.5;3;29;36
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;37
12;2.5;3;29;38
12;2.5;3;29;38
12;2.5;3;29;38
12;2.5;3;30;36
12;2.5;3;30;36
12;2.5;3;30;36
12;2.5;3;30;36
12;2.5;3;30;36
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
12;2.5;3;30;37
