"","egg","Olim","temp","velocity"
"582",78,0.569847,7,0.03
"583",79,0.64128,7,0.03
"584",80,0.616534,7,0.03
"585",81,0.586957,7,0.03
"586",82,0.547894,7,0.03
"587",83,0.59108,7,0.03
"588",84,0.585503,7,0.03
"589",85,0.637471,7,0.03
"590",86,0.593706,7,0.03
"591",87,0.658211,7,0.03
"592",88,0.65044,7,0.03
"593",89,0.645399,7,0.03
"594",90,0.598813,7,0.03
"595",91,0.619454,7,0.03
"596",92,0.601082,7,0.03
"597",93,0.589974,7,0.03
"598",94,0.58509,7,0.03
"599",95,0.578574,7,0.03
"600",96,0.565264,7,0.03
"601",97,0.62719,7,0.03
"602",98,0.69425,7,0.03
"603",99,0.66203,7,0.03
"604",100,0.669234,7,0.03
"605",101,0.58476,7,0.03
"606",102,0.628474,7,0.03
"607",103,0.535686,7,0.03
"608",104,0.609266,7,0.03
"609",105,0.629551,7,0.03
"610",106,0.65393,7,0.03
"611",107,0.651623,7,0.03
"612",108,0.634097,7,0.03
"613",109,0.554669,7,0.03
"614",110,0.62119,7,0.03
"615",111,0.62646,7,0.03
"616",112,0.612972,7,0.03
"617",113,0.592484,7,0.03
"618",114,0.649703,7,0.03
"619",115,0.617802,7,0.03
"620",116,0.651225,7,0.03
"621",117,0.656569,7,0.03
"622",118,0.636616,7,0.03
"623",119,0.645287,7,0.03
"624",120,0.600109,7,0.03
"625",121,0.630054,7,0.03
"626",122,0.645246,7,0.03
"627",123,0.650089,7,0.03
"628",124,0.689878,7,0.03
"629",125,0.658855,7,0.03
"630",126,0.633793,7,0.03
"631",1,0.527454,7,0.04
"632",2,0.526079,7,0.04
"633",3,0.532493,7,0.04
"634",4,0.518109,7,0.04
"635",5,0.525416,7,0.04
"636",6,0.565076,7,0.04
"637",7,0.529232,7,0.04
"638",8,0.528763,7,0.04
"639",9,0.521249,7,0.04
"640",10,0.571797,7,0.04
"641",11,0.532123,7,0.04
"642",12,0.544864,7,0.04
"643",13,0.542538,7,0.04
"644",14,0.557032,7,0.04
"645",15,0.540381,7,0.04
"646",16,0.5143,7,0.04
"647",17,0.563756,7,0.04
"648",18,0.567646,7,0.04
"649",19,0.554645,7,0.04
"650",20,0.547747,7,0.04
"651",21,0.562351,7,0.04
"652",22,0.525976,7,0.04
"653",23,0.589579,7,0.04
"654",24,0.532376,7,0.04
"655",25,0.53753,7,0.04
"656",26,0.536393,7,0.04
"657",27,0.544588,7,0.04
"658",28,0.521939,7,0.04
"659",29,0.530342,7,0.04
