"","Tube","SampleDate","Location","rep","length","weight"
"184",5,"Early","Bottom",11,16.44,0.128
"185",5,"Early","Top",13,17.04,0.128
"186",5,"Early","Top",3,20.12,0.128
"187",5,"Early","Bottom",19,16.83,0.124
"188",5,"Early","Top",10,14.73,0.117
"189",5,"Early","Top",14,18.73,0.116
"190",5,"Early","Top",5,18.66,0.114
"191",5,"Early","Top",6,20.14,0.098
"192",5,"Early","Bottom",2,18.93,0.093
"193",5,"Early","Bottom",12,20.9,0.09
"194",5,"Early","Bottom",1,18.98,0.072
"195",5,"Early","Bottom",3,16.67,0.048
"196",5,"Early","Top",16,16.95,0.039
"201",6,"Early","Top",16,20.09,0.209
"202",6,"Early","Top",15,20.49,0.207
"203",6,"Early","Top",5,20.19,0.206
"204",6,"Early","Top",10,19.97,0.204
"205",6,"Early","Top",11,20.16,0.202
"206",6,"Early","Top",19,19.39,0.2
"207",6,"Early","Bottom",8,20.97,0.2
"208",6,"Early","Bottom",18,18.58,0.199
"209",6,"Early","Top",9,18.65,0.199
"210",6,"Early","Bottom",15,19.78,0.199
"211",6,"Early","Bottom",11,20.94,0.199
"212",6,"Early","Top",20,21.75,0.199
"213",6,"Early","Bottom",4,20.4,0.197
"214",6,"Early","Top",4,19.48,0.196
"215",6,"Early","Bottom",9,20.39,0.196
"216",6,"Early","Bottom",5,18.14,0.194
"217",6,"Early","Top",12,21.19,0.194
"218",6,"Early","Top",8,19.7,0.193
"219",6,"Early","Bottom",2,17.83,0.189
"220",6,"Early","Top",7,19.05,0.176
"221",6,"Early","Bottom",20,17.62,0.15
"222",6,"Early","Bottom",19,19.23,0.148
"223",6,"Early","Bottom",1,21.27,0.144
"224",6,"Early","Top",17,18.18,0.142
"225",6,"Early","Bottom",13,18.49,0.141
"226",6,"Early","Bottom",3,19.4,0.139
"227",6,"Early","Bottom",6,18.15,0.138
"228",6,"Early","Bottom",16,19.03,0.138
"229",6,"Early","Bottom",17,18.3,0.135
"230",6,"Early","Top",2,16.98,0.134
"231",6,"Early","Top",14,18.44,0.133
"232",6,"Early","Top",1,17.49,0.131
"233",6,"Early","Top",13,16.96,0.128
"234",6,"Early","Bottom",10,17.67,0.126
"235",6,"Early","Top",6,17.16,0.124
"236",6,"Early","Top",18,18.15,0.124
"237",6,"Early","Top",3,17.18,0.123
"238",6,"Early","Bottom",7,16.11,0.122
"239",6,"Early","Bottom",14,15.75,0.12
"240",6,"Early","Bottom",12,16.84,0.12
"241",7,"Early","Bottom",6,22.26,0.272
"242",7,"Early","Bottom",5,22.1,0.228
"243",7,"Early","Bottom",8,21.98,0.216
"244",7,"Early","Bottom",10,21.9,0.214
"245",7,"Early","Bottom",16,21.95,0.211
"246",7,"Early","Bottom",17,21.48,0.209
"247",7,"Early","Bottom",1,22.47,0.209
"248",7,"Early","Top",16,20.98,0.208
"249",7,"Early","Top",14,22.03,0.208
"250",7,"Early","Top",10,20.77,0.207
"251",7,"Early","Top",5,21.4,0.207
"252",7,"Early","Bottom",7,21.85,0.207
"253",7,"Early","Bottom",9,20.66,0.201
"254",7,"Early","Top",15,21.18,0.198
"255",7,"Early","Top",19,20.17,0.196
"256",7,"Early","Top",9,21.02,0.191
"257",7,"Early","Bottom",13,20.76,0.172
"258",7,"Early","Bottom",14,19.59,0.16
"259",7,"Early","Bottom",3,19.71,0.155
"260",7,"Early","Bottom",18,19.65,0.154
"261",7,"Early","Bottom",20,20.09,0.153
"262",7,"Early","Bottom",11,20.39,0.153
"263",7,"Early","Top",13,20.44,0.151
"264",7,"Early","Top",7,21.66,0.148
"265",7,"Early","Top",4,19.73,0.147
"266",7,"Early","Top",1,20.19,0.146
"267",7,"Early","Top",2,20.38,0.145
"268",7,"Early","Top",12,20.43,0.144
"269",7,"Early","Top",6,20.67,0.144
"270",7,"Early","Bottom",15,20.44,0.143
"271",7,"Early","Bottom",2,19.26,0.142
"272",7,"Early","Top",8,19.73,0.142
"273",7,"Early","Top",20,20.13,0.142
"274",7,"Early","Top",11,20.7,0.141
"275",7,"Early","Top",3,19.77,0.136
"276",7,"Early","Bottom",4,19.89,0.135
"277",7,"Early","Bottom",19,18.45,0.134
"278",7,"Early","Top",17,19.75,0.132
"279",7,"Early","Top",18,20.25,0.132
"280",7,"Early","Bottom",12,18.96,0.13
"281",8,"Early","Bottom",19,19.57,0.214
"282",8,"Early","Bottom",16,20.82,0.206
"283",8,"Early","Bottom",4,20.12,0.204
"284",8,"Early","Top",5,20.95,0.204
"285",8,"Early","Bottom",11,19.65,0.203
"286",8,"Early","Bottom",9,20.28,0.202
"287",8,"Early","Top",17,19.52,0.201
"288",8,"Early","Bottom",18,20.35,0.2
"289",8,"Early","Bottom",3,21.34,0.2
"290",8,"Early","Bottom",13,21.49,0.2
"291",8,"Early","Bottom",1,20.79,0.198
"292",8,"Early","Top",12,18.99,0.196
"293",8,"Early","Top",19,18.43,0.195
"294",8,"Early","Bottom",8,18.7,0.193
"295",8,"Early","Bottom",15,18.84,0.193
"296",8,"Early","Top",14,18.63,0.191
"297",8,"Early","Top",13,18.17,0.189
"298",8,"Early","Top",9,18.6,0.188
"299",8,"Early","Top",6,18.18,0.185
"300",8,"Early","Bottom",7,19.6,0.185
"301",8,"Early","Top",4,19.11,0.183
"302",8,"Early","Top",3,18.38,0.18
"303",8,"Early","Bottom",6,19.55,0.15
"304",8,"Early","Bottom",12,18.09,0.14
"305",8,"Early","Bottom",5,19.3,0.14
"306",8,"Early","Bottom",20,19.36,0.14
"307",8,"Early","Top",10,18.85,0.139
"308",8,"Early","Top",1,19.42,0.137
"309",8,"Early","Bottom",17,21.13,0.136
"310",8,"Early","Top",15,19.49,0.133
"311",8,"Early","Bottom",10,19.18,0.132
"312",8,"Early","Bottom",2,19.48,0.132
"313",8,"Early","Top",8,17.23,0.131
"314",8,"Early","Top",16,17.52,0.128
"315",8,"Early","Top",18,17.7,0.128
"316",8,"Early","Bottom",14,17.96,0.127
"317",8,"Early","Top",7,17.59,0.126
"318",8,"Early","Top",11,19.16,0.122
"319",8,"Early","Top",2,18.86,0.121
"320",8,"Early","Top",20,15.64,0.119
"321",9,"Late","Top",1,22.49,0.223
"322",9,"Late","Top",2,23.15,0.221
"323",9,"Late","Top",8,22.35,0.219
"324",9,"Late","Bottom",19,20.27,0.218
"325",9,"Late","Bottom",20,21.54,0.217
"326",9,"Late","Top",15,21.55,0.217
"327",9,"Late","Bottom",3,21.85,0.217
"328",9,"Late","Top",14,21.15,0.215
"329",9,"Late","Top",9,23.67,0.215
"330",9,"Late","Bottom",15,20.83,0.213
"331",9,"Late","Top",19,22.25,0.213
"332",9,"Late","Top",4,21.3,0.212
"333",9,"Late","Top",16,20.6,0.209
"334",9,"Late","Bottom",11,19.64,0.208
"335",9,"Late","Bottom",13,20.54,0.207
"336",9,"Late","Bottom",16,19.93,0.203
"337",9,"Late","Bottom",8,21,0.201
"338",9,"Late","Bottom",10,19.35,0.2
"339",9,"Late","Bottom",6,20.2,0.199
"340",9,"Late","Bottom",14,19.98,0.198
"341",9,"Late","Bottom",4,20.34,0.197
"342",9,"Late","Top",6,20.64,0.197
"343",9,"Late","Bottom",17,15.34,0.176
"344",9,"Late","Bottom",9,20.58,0.155
"345",9,"Late","Top",7,22.32,0.154
"346",9,"Late","Top",3,21.25,0.152
"347",9,"Late","Top",12,20.73,0.151
"348",9,"Late","Bottom",1,21.47,0.151
"349",9,"Late","Top",11,19.44,0.149
"350",9,"Late","Bottom",2,20.53,0.149
"351",9,"Late","Bottom",18,19.2,0.148
"352",9,"Late","Top",17,21.03,0.146
"353",9,"Late","Top",13,20.06,0.145
"354",9,"Late","Top",5,19.6,0.143
"355",9,"Late","Top",18,20.78,0.142
"356",9,"Late","Bottom",7,19.99,0.14
"357",9,"Late","Top",10,21.15,0.14
"358",9,"Late","Top",20,20.1,0.137
"359",9,"Late","Bottom",5,20.23,0.133
"360",9,"Late","Bottom",12,18.31,0.125
"361",10,"Late","Top",2,21.64,0.219
"362",10,"Late","Top",1,20.63,0.217
"363",10,"Late","Top",15,20.34,0.213
"364",10,"Late","Top",4,20.51,0.211
"365",10,"Late","Top",14,20.79,0.207
"366",10,"Late","Top",18,21.93,0.204
"367",10,"Late","Top",8,19.12,0.203
"368",10,"Late","Top",7,19.81,0.202
"369",10,"Late","Top",16,19.38,0.197
"370",10,"Late","Bottom",4,20.26,0.197
"371",10,"Late","Top",10,20.17,0.196
"372",10,"Late","Top",5,19.57,0.193
"373",10,"Late","Bottom",15,18.56,0.187
"374",10,"Late","Bottom",19,16.79,0.184
"375",10,"Late","Bottom",12,18.25,0.178
"376",10,"Late","Top",17,19.69,0.153
"377",10,"Late","Top",3,20.63,0.153
"378",10,"Late","Top",12,19.09,0.144
"379",10,"Late","Top",13,19.13,0.144
"380",10,"Late","Top",9,18.57,0.143
"381",10,"Late","Bottom",7,20.46,0.142
"382",10,"Late","Top",6,18.57,0.141
"383",10,"Late","Top",19,17.98,0.14
"384",10,"Late","Bottom",16,19.97,0.14
"385",10,"Late","Bottom",9,17.3,0.137
"386",10,"Late","Bottom",1,19.12,0.136
"387",10,"Late","Bottom",8,18.61,0.13
"388",10,"Late","Top",20,19.63,0.129
"389",10,"Late","Bottom",11,17.26,0.123
"390",10,"Late","Bottom",2,18.09,0.123
"391",10,"Late","Bottom",6,18.15,0.122
"392",10,"Late","Bottom",14,18.2,0.122
"393",10,"Late","Bottom",10,12.11,0.121
"394",10,"Late","Bottom",3,15.93,0.12
"395",10,"Late","Top",11,15.42,0.115
"396",10,"Late","Bottom",18,16.76,0.112
"397",10,"Late","Bottom",5,13.14,0.11
"398",10,"Late","Bottom",17,16.7,0.109
"401",11,"Late","Top",13,22.02,0.209
"402",11,"Late","Top",2,21.29,0.202
"403",11,"Late","Bottom",4,19.14,0.2
"404",11,"Late","Bottom",6,19.49,0.199
"405",11,"Late","Bottom",5,19.72,0.199
"406",11,"Late","Top",3,18.2,0.198
"407",11,"Late","Bottom",13,19.44,0.198
"408",11,"Late","Top",1,20.69,0.197
"409",11,"Late","Bottom",15,16.71,0.193
"410",11,"Late","Top",9,20.28,0.191
"411",11,"Late","Bottom",1,20.52,0.19
"412",11,"Late","Top",4,20.72,0.189
"413",11,"Late","Top",5,20.53,0.188
"414",11,"Late","Bottom",2,14.99,0.187
"415",11,"Late","Bottom",20,19.14,0.186
"416",11,"Late","Bottom",10,17.29,0.181
"417",11,"Late","Bottom",7,16.98,0.178
"418",11,"Late","Bottom",9,15.03,0.177
"419",11,"Late","Top",16,20.53,0.177
"420",11,"Late","Bottom",14,19.38,0.142
"421",11,"Late","Bottom",16,18.26,0.141
"422",11,"Late","Bottom",3,18.55,0.139
"423",11,"Late","Bottom",18,18.19,0.138
"424",11,"Late","Bottom",19,17.62,0.137
"425",11,"Late","Bottom",11,19.31,0.135
"426",11,"Late","Top",10,20.14,0.134
"427",11,"Late","Bottom",17,17.25,0.132
"428",11,"Late","Top",8,19.5,0.126
"429",11,"Late","Top",14,20.38,0.126
"430",11,"Late","Top",7,15.92,0.125
"431",11,"Late","Top",12,17.24,0.125
"432",11,"Late","Top",15,19.16,0.124
"433",11,"Late","Top",11,16.51,0.123
"434",11,"Late","Bottom",8,15.1,0.122
"435",11,"Late","Top",6,17.22,0.122
"436",11,"Late","Bottom",12,17.79,0.12
"441",12,"Late","Top",9,20.03,0.235
"442",12,"Late","Bottom",11,21,0.228
"443",12,"Late","Bottom",3,20.67,0.221
"444",12,"Late","Bottom",14,21.18,0.22
"445",12,"Late","Top",4,19.85,0.215
"446",12,"Late","Top",3,20.34,0.212
"447",12,"Late","Bottom",16,20.98,0.212
"448",12,"Late","Bottom",12,19.85,0.211
"449",12,"Late","Bottom",8,18.84,0.209
"450",12,"Late","Top",11,21.07,0.208
"451",12,"Late","Top",5,21.24,0.208
"452",12,"Late","Top",2,21.74,0.208
"453",12,"Late","Bottom",20,20.95,0.204
"454",12,"Late","Bottom",1,20.98,0.201
"455",12,"Late","Top",12,20.94,0.2
"456",12,"Late","Bottom",18,19.76,0.197
"457",12,"Late","Bottom",10,20.01,0.197
"458",12,"Late","Top",10,19.5,0.161
"459",12,"Late","Top",1,20.16,0.158
"460",12,"Late","Top",8,20.84,0.158
"461",12,"Late","Bottom",13,20.21,0.155
"462",12,"Late","Bottom",5,20.56,0.154
"463",12,"Late","Top",6,20.77,0.152
"464",12,"Late","Top",7,19.31,0.15
"465",12,"Late","Bottom",19,20.1,0.149
"466",12,"Late","Bottom",4,19.36,0.148
"467",12,"Late","Bottom",15,20.07,0.146
"468",12,"Late","Bottom",17,18.64,0.143
"469",12,"Late","Bottom",7,17.99,0.141
"470",12,"Late","Bottom",2,19.47,0.139
"471",12,"Late","Bottom",9,19.67,0.138
"472",12,"Late","Top",13,19.25,0.13
"473",12,"Late","Bottom",6,18.9,0.126
"481",13,"Late","Bottom",12,22.19,0.23
"482",13,"Late","Bottom",11,23.79,0.23
"483",13,"Late","Bottom",19,23.33,0.227
"484",13,"Late","Bottom",15,20.38,0.22
"485",13,"Late","Bottom",2,21.22,0.217
"486",13,"Late","Bottom",20,20.92,0.216
"487",13,"Late","Top",12,23.09,0.215
"488",13,"Late","Bottom",14,21.01,0.214
"489",13,"Late","Bottom",5,21.82,0.214
"490",13,"Late","Top",10,23.21,0.214
"491",13,"Late","Bottom",1,21.31,0.212
"492",13,"Late","Bottom",4,22.78,0.212
"493",13,"Late","Top",3,22.01,0.209
"494",13,"Late","Top",9,22.64,0.208
"495",13,"Late","Top",19,22.64,0.208
"496",13,"Late","Top",2,21.2,0.206
"497",13,"Late","Top",18,21.86,0.205
"498",13,"Late","Bottom",13,21.18,0.2
"499",13,"Late","Top",1,21.59,0.2
"500",13,"Late","Top",6,21.4,0.196
"501",13,"Late","Bottom",18,21.39,0.167
"502",13,"Late","Bottom",6,20.64,0.161
"503",13,"Late","Top",13,22.97,0.161
"504",13,"Late","Bottom",10,20.11,0.157
"505",13,"Late","Bottom",3,21.5,0.156
"506",13,"Late","Top",14,21.18,0.155
"507",13,"Late","Bottom",7,20.88,0.154
"508",13,"Late","Bottom",16,21.24,0.153
"509",13,"Late","Top",17,20.35,0.152
"510",13,"Late","Top",5,22.48,0.15
"511",13,"Late","Bottom",17,20.08,0.143
"512",13,"Late","Bottom",8,19.94,0.142
"513",13,"Late","Top",16,20.04,0.141
